room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
17959599,1454,123268380,Entire home/apt,NA,Belgium,Brussel,Sint-Pieters-Woluwe,22,4.5,6,2,NA,81,NA,"Brussels City apartment in a clean,silent area",2017/07/15 01:52:11,50.837265,4.41296,0101000020E610000082397AFCDEA61140F08AE07F2B6B4940
11942819,1454,57456796,Entire home/apt,NA,Belgium,Brussel,Brussel,111,4.5,2,0,NA,64,NA,Grand Place Studio,2017/07/15 01:52:08,50.84625,4.348549,0101000020E6100000CA367007EA641140B81E85EB516C4940
9500490,1454,1569736,Entire home/apt,NA,Belgium,Brussel,Brussel,3,4.5,2,0,NA,71,NA,Studio Macaron - 2 PS,2017/07/15 01:52:08,50.848916,4.3508,0101000020E610000048BF7D1D386711408C868C47A96C4940
6309827,1454,32823597,Entire home/apt,NA,Belgium,Brussel,Brussel,166,4.5,4,1,NA,76,NA,Good Night Brussels 2,2017/07/15 01:52:07,50.839813,4.351167,0101000020E6100000DCBC715298671140B9E00CFE7E6B4940
3918003,1454,20296941,Entire home/apt,NA,Belgium,Brussel,Sint-Pieters-Woluwe,49,5,4,1,NA,80,NA,Bright & quiet furnished apartment,2017/07/15 01:51:55,50.834977,4.45647,0101000020E6100000A56B26DF6CD31140C3F4BD86E06A4940
14049826,1454,60614892,Entire home/apt,NA,Belgium,Halle-Vilvoorde,Kraainem,9,5,2,1,NA,76,NA,Studio moderne ds quartier calme et bien connecté,2017/07/15 01:51:53,50.837698,4.466108,0101000020E6100000AA9D616A4BDD11405AF624B0396B4940
13561215,1454,78137493,Entire home/apt,NA,Belgium,Brussel,Schaarbeek,24,4,4,1,NA,65,NA,Charmant appartement de maître+grand jardin privé,2017/07/15 01:51:44,50.852079,4.384519,0101000020E610000033C34659BF891140E04DB7EC106D4940
18063500,1454,14491864,Entire home/apt,NA,Belgium,Brussel,Brussel,1,0,4,2,NA,81,NA,Cozy flat in the “green heart” of Brussels,2017/07/15 01:51:39,50.813733,4.367412,0101000020E6100000BEA1F0D93A7811408656276728684940
16525566,1454,34181543,Entire home/apt,NA,Belgium,Brussel,Sint-Gillis,0,0,4,2,NA,79,NA,Cosy flat with garden in trendy Saint-Gilles,2017/07/15 01:51:39,50.825121,4.349757,0101000020E61000003430F2B226661140151F9F909D694940
817999,1454,4296531,Entire home/apt,NA,Belgium,Brussel,Brussel,52,5,2,1,NA,71,NA,Prestige apartment in Châtelain,2017/07/15 01:51:39,50.827125,4.361599,0101000020E6100000B2101D02477211401D5A643BDF694940
14100344,1454,9626884,Entire home/apt,NA,Belgium,Brussel,Brussel,4,5,2,1,NA,78,NA,The perfect Location close the EC ! Cosy !!!,2017/07/15 01:51:39,50.846075,4.379252,0101000020E610000037C5E3A25A8411404A7B832F4C6C4940
15804952,1454,7790781,Entire home/apt,NA,Belgium,Brussel,Brussel,9,4.5,2,1,NA,76,NA,City Center Apartment  (De Brouckère),2017/07/15 01:51:39,50.849997,4.350642,0101000020E6100000876A4AB20E6711405C59A2B3CC6C4940
18055169,1454,10369211,Entire home/apt,NA,Belgium,Brussel,Etterbeek,2,0,2,1,NA,70,NA,Cosy Duplex near EU,2017/07/15 01:51:39,50.830966,4.388626,0101000020E61000004E8061F9F38D1140410B09185D6A4940
18607770,1454,6692403,Entire home/apt,NA,Belgium,Brussel,Elsene,1,0,2,1,NA,72,NA,Cosy apartment with Brussels most amazing view,2017/07/15 01:51:34,50.816339,4.37855,0101000020E61000006B9A779CA283114084B9DDCB7D684940
14028125,1454,83972730,Entire home/apt,NA,Belgium,Brussel,Sint-Gillis,0,0,2,0,NA,76,NA,Ravissant studio pratique & soigné au coeur de Bxl,2017/07/15 01:51:34,50.829251,4.356312,0101000020E61000007DB08C0DDD6C1140709692E5246A4940
19419815,1454,54311130,Entire home/apt,NA,Belgium,Brussel,Brussel,1,0,2,1,NA,71,NA,Cosy apartment,2017/07/15 01:51:34,50.849006,4.364003,0101000020E61000006495D233BD741140CC0D863AAC6C4940
9471954,1454,17314290,Entire home/apt,NA,Belgium,Brussel,Elsene,13,4.5,2,1,NA,63,NA,Studio lumineux ( Premier étage),2017/07/15 01:51:31,50.837764,4.366625,0101000020E61000008195438B6C77114011E2CAD93B6B4940
19653344,1454,8526903,Entire home/apt,NA,Belgium,Brussel,Brussel,0,0,4,2,NA,75,NA,Bel et lumineux appartement au coeur du Chatelain,2017/07/15 01:51:31,50.82737,4.360244,0101000020E610000026529ACDE370114084D89942E7694940
17461786,1454,38162032,Entire home/apt,NA,Belgium,Brussel,Brussel,12,4.5,2,1,NA,82,NA,Full flat - maison rénovée centre Bxl - Blue Moon,2017/07/15 01:51:31,50.855451,4.35288,0101000020E610000061A6ED5F596911404E2A1A6B7F6D4940
19132866,1454,4174277,Entire home/apt,NA,Belgium,Brussel,Brussel,0,0,5,2,NA,65,NA,Very Nice 2 bedroom flat Ixelles Brugman Tenbosch,2017/07/15 01:51:31,50.817643,4.364707,0101000020E6100000357D76C075751140D3669C86A8684940
3504967,1454,17646753,Entire home/apt,NA,Belgium,Brussel,Brussel,70,4,4,1,NA,76,NA,Lovely flat near Grand Place 54/2-3,2017/07/15 01:51:31,50.847433,4.35174,0101000020E6100000B9C7D2872E6811408D463EAF786C4940
19253406,1454,71084728,Entire home/apt,NA,Belgium,Brussel,Brussel,0,0,3,0,NA,71,NA,Lumineux et luxueux studio/ loft de 68 m2.,2017/07/15 01:50:25,50.879474,4.386134,0101000020E6100000A27E17B6668B114056D7A19A92704940
6891740,1454,36113577,Entire home/apt,NA,Belgium,Brussel,Brussel,11,4.5,6,1,NA,65,NA,One Bedroom Apartment Near ATOMIUM,2017/07/15 01:50:25,50.87749,4.349619,0101000020E6100000AB3DEC85026611409548A29751704940
13520734,1454,37867791,Entire home/apt,NA,Belgium,Leuven,Kortenberg,23,4.5,4,2,NA,65,NA,Spatious apartment near Brussels Airport,2017/07/15 01:50:23,50.876974,4.541683,0101000020E61000005932C7F2AE2A12409DB81CAF40704940
7447270,1454,39004529,Entire home/apt,NA,Belgium,Brussel,Elsene,0,0,3,1,NA,71,NA,Comme chez soi.,2017/07/15 01:50:21,50.833079,4.374966,0101000020E61000009F724C16F77F114000FE2955A26A4940
3346963,1454,3823227,Entire home/apt,NA,Belgium,Brussel,Elsene,12,5,2,1,NA,68,NA,Cosy flat 90m2 - Bois de la Cambre,2017/07/15 01:50:21,50.809816,4.389101,0101000020E6100000145D177E708E114086E3F90CA8674940
3854121,1454,2210565,Entire home/apt,NA,Belgium,Brussel,Brussel,4,4.5,4,1,NA,70,NA,Train Flat - La 12,2017/07/15 01:50:21,50.877561,4.383478,0101000020E610000024F1F274AE8811405E9F39EB53704940
